dateobs	ut	mjd	filter	mag	dmag
2018-11-02	11:26:37	58424.4766574	ip	17.3027286141	0.0155092547546
2018-11-02	11:23:54	58424.4747681	ip	17.3668031141	0.0186172980981
2018-11-02	11:20:58	58424.4727396	rp	17.2406066689	0.0116569370465
2018-11-02	11:18:14	58424.4708375	rp	17.2160297245	0.0115463876764
2018-11-02	11:13:58	58424.4678815	gp	17.1331729772	0.00776704979301
2018-11-02	11:09:54	58424.4650529	gp	17.1274159772	0.00769099439299
2018-11-02	11:06:56	58424.4629895	V	17.1782753463	0.0163810182922
2018-11-02	11:04:12	58424.4610884	V	17.2113430816	0.0161014189386
2018-11-02	10:59:56	58424.4581207	B	17.3569606995	0.0154101440541
2018-11-02	10:55:53	58424.4553156	B	17.3169022936	0.0148004371901
2018-11-02	10:49:52	58424.4511426	U	15.6274574225	0.0280199826738
2018-11-02	10:44:08	58424.447155	U	15.6512303813	0.0270208858005
2018-11-27	07:32:42	58449.3142332	ip	17.1665447487	0.0171758031331
2018-11-27	07:29:59	58449.312355	ip	17.1512186016	0.0181904206373
2018-11-27	07:27:04	58449.3103265	rp	17.1703188115	0.0151211897605
2018-11-27	07:24:22	58449.3084488	rp	17.2166605468	0.0131632612381
2018-11-27	07:20:06	58449.3054815	gp	17.8834845121	0.0182110527587
2018-11-27	07:16:03	58449.3026766	gp	17.8314749696	0.0172511522079
2018-11-27	07:13:08	58449.3006481	V	17.4242375752	0.0218990966976
2018-11-27	07:10:22	58449.2987232	V	17.4226301765	0.0218804408075
2018-11-27	07:06:04	58449.2957443	B	18.5172029609	0.0295114002884
2018-11-27	07:02:02	58449.2929392	B	18.4521773491	0.0379202655237
2018-11-27	06:56:02	58449.288778	U	18.1042523652	0.22094141299
2018-11-27	06:50:19	58449.2848025	U	17.9783664887	0.205952334482
2018-11-23	09:06:30	58445.379352	ip	17.1973435383	0.0473047038234
2018-11-23	09:03:46	58445.3774627	ip	17.1736236853	0.13115634016
2018-11-23	08:49:45	58445.3677261	gp	17.6267541118	0.110847330054
2018-11-23	08:46:47	58445.365663	V	17.4165672627	0.11079397032
2018-11-23	08:44:02	58445.363762	V	17.3590982627	0.0379007056841
2018-11-23	08:39:45	58445.3607829	B	18.3996154049	0.0653443957252
2018-11-23	08:35:41	58445.3579663	B	18.441776099	0.0889795259473
2018-11-23	08:29:40	58445.3537704	U	17.5834166466	0.303754274172
2018-11-23	08:23:55	58445.3497948	U	17.6066628466	0.325282614965
2018-11-21	10:12:16	58443.4250245	ip	17.1253265426	0.0151347353812
2018-11-21	10:09:33	58443.4231352	ip	17.1255667484	0.0151802481629
2018-11-21	10:06:36	58443.4210951	rp	17.172689951	0.0131443220934
2018-11-21	10:03:52	58443.4191942	rp	17.138720951	0.0131372673675
2018-11-21	09:59:35	58443.4162267	gp	17.6073925705	0.0142609891056
2018-11-21	09:55:32	58443.4133985	gp	17.6428792764	0.0152138886805
2018-11-21	09:52:33	58443.411347	V	17.347536696	0.0225145441635
2018-11-21	09:49:50	58443.4094576	V	17.3219915293	0.0221543575075
2018-11-21	09:45:33	58443.4064787	B	18.1576186012	0.0334427026611
2018-11-21	09:41:29	58443.4036507	B	18.1237955836	0.0303756301439
2018-11-21	09:35:32	58443.3995243	U	17.550888648	0.118155902633
2018-11-21	09:29:49	58443.3955487	U	17.6196466657	0.153389767927
2018-11-20	07:59:39	58442.3329334	ip	17.2415126689	0.0172652412903
2018-11-20	07:56:55	58442.3310326	ip	17.2184000578	0.0162999699443
2018-11-20	07:54:00	58442.3290042	rp	17.1809674943	0.0151547976567
2018-11-20	07:51:16	58442.3271033	rp	17.1941831545	0.0162112199479
